Date,Consumption,Meter
1/22/22,2290.358,19240202
2/22/22,4988.359,19240202
3/22/22,4648.641,19240202
4/22/22,5145.023,19240202
5/22/22,5887.07,19240202
6/22/22,5445.867,19240202
7/22/22,5482.867,19240202
8/22/22,6034.469,19240202
9/22/22,3383.516,19240202
10/22/22,4277.469,19240202
11/23/22,3253.531,19240202
1/22/22,6656.098,19240208
2/22/22,6787.109,19240208
3/22/22,6440,19240208
4/22/22,6021,19240208
5/22/22,7351.938,19240208
6/22/22,5866.438,19240208
7/22/22,6679.125,19240208
8/22/22,7036.813,19240208
9/22/22,5984.031,19240208
10/22/22,6881.953,19240208
11/23/22,7497,19240208
1/22/22,6529.283,19240210
2/22/22,8040.34,19240210
3/22/22,6895.164,19240210
4/22/22,5804.914,19240210
5/22/22,5693.961,19240210
6/22/22,4415.109,19240210
7/22/22,5685.5,19240210
8/22/22,5003.391,19240210
9/22/22,4679.039,19240210
10/22/22,5252,19240210
11/23/22,4952,19240210
1/22/22,888.148,19240215
2/22/22,2295.125,19240215
3/22/22,1451.365,19240215
4/22/22,1698.096,19240215
5/22/22,2366.457,19240215
6/22/22,1484.906,19240215
7/22/22,1798.773,19240215
8/22/22,1325.879,19240215
9/22/22,1496.535,19240215
10/22/22,1779.727,19240215
11/23/22,1418,19240215
1/22/22,3472.804,19240216
2/22/22,3386.949,19240216
3/22/22,3752.566,19240216
4/22/22,1911.285,19240216
5/22/22,938.605,19240216
6/22/22,0,19240216
7/22/22,366.406,19240216
8/22/22,2330.777,19240216
9/22/22,1789.781,19240216
10/22/22,2810.262,19240216
11/23/22,3514,19240216
1/22/22,1767.58,19240218
2/22/22,945.734,19240218
3/22/22,15.586,19240218
4/22/22,0.531,19240218
5/22/22,3.695,19240218
6/22/22,101.445,19240218
7/22/22,519.625,19240218
8/22/22,689.488,19240218
9/22/22,1721.344,19240218
10/22/22,1614.887,19240218
11/23/22,1817,19240218
1/22/22,1282.292,19240219
2/22/22,4346.422,19240219
3/22/22,2806.555,19240219
4/22/22,2894.797,19240219
5/22/22,3792.191,19240219
6/22/22,2593.113,19240219
7/22/22,2108.875,19240219
8/22/22,181.492,19240219
9/22/22,2884.219,19240219
10/22/22,2739.461,19240219
11/23/22,3009,19240219
1/22/22,2941.025,19240220
2/22/22,12330.234,19240220
3/22/22,8350.984,19240220
4/22/22,4397.938,19240220
5/22/22,8241.656,19240220
6/22/22,6792.922,19240220
7/22/22,5595.922,19240220
8/22/22,6667.266,19240220
9/22/22,7428.828,19240220
10/22/22,6871.906,19240220
11/23/22,8400,19240220
1/22/22,7375.687,19240221
2/22/22,4474.277,19240221
3/22/22,2856.758,19240221
4/22/22,2368.57,19240221
5/22/22,6537.727,19240221
6/22/22,4057.68,19240221
7/22/22,1186.391,19240221
8/22/22,4043.688,19240221
9/22/22,3488.922,19240221
10/22/22,4214.602,19240221
11/23/22,1089,19240221
12/24/22,2329,19240216
12/24/22,2385,19240221
12/24/22,4243,19240202
12/24/22,6774,19240208
12/24/22,1597,19240218
12/24/22,1771,19240215
12/24/22,5656,19240210
12/24/22,2429,19240219
12/25/22,7752,19240220